Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Afghanistan,AFG,12.4,,,14.3,,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Bangladesh,BGD,12.1,12.0,,13.9,13.2,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Chad,TCD,13.7,,,,14.4,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Ethiopia,ETH,5.6,,,,6.4,5.7,,,,,,10.0,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Lao PDR,LAO,,,,,,14.6,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,Nepal,NPL,11.9,10.9,,,,,,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,"Somalia, Fed. Rep.",SOM,,,,,,,9.4,,,,,,,,,,,,,,,,,
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,South Sudan,SSD,,,,,,,9.7,,,,,,,,,,,,,,,,,
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Bahrain,BHR,,,,,,,,,,,,,,,,,,,,,,,,0.0
Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,Chad,TCD,7.04879516706408,6.58782179805737,6.36230566447043,6.21849056575933,6.14917123284633,6.48716142342651,6.53813075215403,5.95578640745159,5.66384833573481,5.4650533380798,5.44159121873369,10.6624878077196,11.8840378296931,13.1472471965139,13.5319160812586,13.2444715766472,13.0337080138448,13.313909534161,14.0500457678694,14.3240518871099,13.9334962352564,,14.467376229158,
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,1.21217597601851,0.762004896898895,5.25202958527833,6.14519400188515,3.57583485398158,3.51921696042587,4.09270201656348,1.8925975396006,2.18654618162979,3.64638090813246,2.93468670173474,3.69150308391849,4.04786256315645,3.41822667584596,3.63251884652008,3.11995924146907,2.53571991833963,2.80833730805469,2.91080959861384,2.98438913621969,3.15360920291972,2.35609779179185,1.43570437048699,2.13559384981397
Population growth (annual %),SP.POP.GROW,Africa Eastern and Southern,AFE,2.59538933998788,2.5886417713116,2.60780157535376,2.61906809457548,2.64137149821667,2.65847839652985,2.66976588552462,2.69144498343854,2.72364001522085,2.73723757208867,2.73452519643287,2.68462143269084,2.69351289263264,2.7482455829431,2.70410469635343,2.69683038788555,2.64074325542301,2.64206728810391,2.73426282366823,2.72168052257397,2.69951609745311,2.6494391643563,2.59275445199729,2.51916664518144
Population growth (annual %),SP.POP.GROW,Africa Western and Central,AFW,2.75132392809025,2.80153964354323,2.81077138406323,2.8141742241892,2.82856501787792,2.83958955807186,2.82608419767989,2.8219705369228,2.82607178878814,2.79237396747975,2.78698893627561,2.82286088448152,2.78126173094488,2.73116206800931,2.73031560628191,2.69935903335602,2.67291294656133,2.62629564056769,2.53362052736347,2.44004800908883,2.38917570433681,2.3638289749527,2.33227039388145,2.38620356038992
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.637356833943492,-0.93847042771206,-0.299876697084691,-0.374149169291299,-0.417931377925999,-0.511790116421897,-0.630911244851673,-0.75571875541991,-0.767342959142321,-0.673894046451936,-0.49646196338738,-0.269017331764615,-1.54313670532257,-1.54314471365633,-1.54313753739282,-1.54312006878448,-1.54313470861992,-1.54315156766944,-1.54309991591532,-1.54313709096794,-1.54315589345436,-1.54312080996395,-1.54315667695786,-1.54310811387613
