Series Name,Series Code,Country Name,Country Code,Year,Value
Population growth (annual %),SP.POP.GROW,Albania,ALB,2000,-0.637356833943492
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,2000,1.07336821798259
Population growth (annual %),SP.POP.GROW,Andorra,AND,2000,-0.038053198830509
Population growth (annual %),SP.POP.GROW,Angola,AGO,2000,3.31228746945312
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,2000,1.67727282735622
Population growth (annual %),SP.POP.GROW,Argentina,ARG,2000,1.13312807570195
Population growth (annual %),SP.POP.GROW,Aruba,ABW,2000,1.03081685259869
Population growth (annual %),SP.POP.GROW,Austria,AUT,2000,0.240466652446524
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,2000,0.821519963674211
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,2000,1.31201091278679
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,2000,2.63695278007044
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,2000,1.82732806740512
Population growth (annual %),SP.POP.GROW,Barbados,BRB,2000,-0.173090896850965
Population growth (annual %),SP.POP.GROW,Belarus,BLR,2000,-0.471131334643547
Population growth (annual %),SP.POP.GROW,Belgium,BEL,2000,0.242517956221334
Population growth (annual %),SP.POP.GROW,Belize,BLZ,2000,3.26709202067925
Population growth (annual %),SP.POP.GROW,Benin,BEN,2000,3.07665265205002
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,2000,0.694526488745174
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,2000,2.42228077592733
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,2000,1.71712723342906
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,2000,0.710877055593974
Population growth (annual %),SP.POP.GROW,Botswana,BWA,2000,2.13210606291764
Population growth (annual %),SP.POP.GROW,Brazil,BRA,2000,1.37521128317928
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,2000,2.55699302788739
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,2000,2.17184750364769
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,2000,-0.493896416633318
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2000,2.98414422391968
Population growth (annual %),SP.POP.GROW,Burundi,BDI,2000,2.07761630416467
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,2000,1.51097073984668
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,2000,1.59016992993238
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2000,2.63276307164066
Population growth (annual %),SP.POP.GROW,Canada,CAN,2000,0.931281553452429
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2000,3.56640069722567
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,2000,2.74955419856204
Population growth (annual %),SP.POP.GROW,Chad,TCD,2000,3.45886279310456
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,2000,0.376103046296504
Population growth (annual %),SP.POP.GROW,Chile,CHL,2000,1.19601925947085
Population growth (annual %),SP.POP.GROW,China,CHN,2000,0.787956592953992
Population growth (annual %),SP.POP.GROW,Colombia,COL,2000,1.63798274950516
Population growth (annual %),SP.POP.GROW,Comoros,COM,2000,1.91989444545768
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,2000,3.20780748301006
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2000,3.83186610159414
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,2000,1.93953648052985
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2000,2.76729583954346
Population growth (annual %),SP.POP.GROW,Croatia,HRV,2000,-0.986434858645568
Population growth (annual %),SP.POP.GROW,Cuba,CUB,2000,0.332523063476085
Population growth (annual %),SP.POP.GROW,Curacao,CUW,2000,-4.07538613162288
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,2000,1.74925863858297
Population growth (annual %),SP.POP.GROW,Czechia,CZE,2000,-0.280414108078884
Population growth (annual %),SP.POP.GROW,Denmark,DNK,2000,0.334233618829261
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,2000,3.13983453232405
Population growth (annual %),SP.POP.GROW,Dominica,DMA,2000,-0.522635323904246
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,2000,1.62045560357101
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,2000,1.73622001498213
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,2000,2.16091978529782
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,2000,0.497012728838862
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,2000,5.26428495953201
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,2000,1.53601457156771
Population growth (annual %),SP.POP.GROW,Estonia,EST,2000,0.483707161729931
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2000,3.06823302462214
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,2000,1.33775372322055
Population growth (annual %),SP.POP.GROW,Fiji,FJI,2000,1.08577609197596
Population growth (annual %),SP.POP.GROW,Finland,FIN,2000,0.2076065154133
Population growth (annual %),SP.POP.GROW,France,FRA,2000,0.686335719566776
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,2000,1.56922864809839
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2000,2.58540209287646
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2000,2.73837212713207
Population growth (annual %),SP.POP.GROW,Georgia,GEO,2000,-1.9446291567975
Population growth (annual %),SP.POP.GROW,Germany,DEU,2000,0.135431600393084
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2000,2.51243583964957
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,2000,0.0613707353064771
Population growth (annual %),SP.POP.GROW,Greece,GRC,2000,0.409041838238246
Population growth (annual %),SP.POP.GROW,Greenland,GRL,2000,0.151400483121501
Population growth (annual %),SP.POP.GROW,Grenada,GRD,2000,0.676075747933343
Population growth (annual %),SP.POP.GROW,Guam,GUM,2000,1.11575065774253
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,2000,2.37572059022903
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2000,1.96135964318577
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2000,2.00706384351502
Population growth (annual %),SP.POP.GROW,Guyana,GUY,2000,0.0456413500238234
Population growth (annual %),SP.POP.GROW,Haiti,HTI,2000,1.84581482966936
Population growth (annual %),SP.POP.GROW,Honduras,HND,2000,2.73259067031821
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,2000,0.881594075853745
Population growth (annual %),SP.POP.GROW,Hungary,HUN,2000,-0.259764908288633
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2000,1.36919283329812
Population growth (annual %),SP.POP.GROW,India,IND,2000,1.87939826197393
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,2000,1.43244007763682
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,2000,1.47619563346635
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2000,3.27752785249419
Population growth (annual %),SP.POP.GROW,Ireland,IRL,2000,1.33304266586712
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,2000,1.15522158904352
Population growth (annual %),SP.POP.GROW,Israel,ISR,2000,2.64233191305756
Population growth (annual %),SP.POP.GROW,Italy,ITA,2000,0.045303631138613
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,2000,0.693820204754118
Population growth (annual %),SP.POP.GROW,Japan,JPN,2000,0.167275578113187
Population growth (annual %),SP.POP.GROW,Jordan,JOR,2000,2.07260479051429
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,2000,0.292205742065896
Population growth (annual %),SP.POP.GROW,Kenya,KEN,2000,3.01293994477925
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,2000,1.69232269333491
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,2000,0.713737031349431
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,2000,0.836180864297766
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,2000,-3.75823655438575
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,2000,2.83716577319158
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2000,1.18989565060204
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,2000,1.67898547843134
Population growth (annual %),SP.POP.GROW,Latvia,LVA,2000,-0.963935407092365
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,2000,1.72552456653499
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,2000,0.0338894483530851
Population growth (annual %),SP.POP.GROW,Liberia,LBR,2000,3.70256844774732
Population growth (annual %),SP.POP.GROW,Libya,LBY,2000,1.65322614160708
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,2000,1.30732907481793
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,2000,-0.703385440488978
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,2000,1.34408299573143
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,2000,0.74592420452155
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,2000,0.455448702114895
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2000,3.17297260783499
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2000,2.39808527580859
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,2000,2.34480241175698
Population growth (annual %),SP.POP.GROW,Maldives,MDV,2000,1.64706787778788
