Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Population, total",SP.POP.TOTL,World,WLD,6161884811,6245112906,6327557399,6409750441,6492769815,6575841506,6659977025,6744489399,6830513541,6916589116,7001266876,7087120034,7176929184,7265892332,7354068030,7441677465,7528879985,7614523410,7697233736,7778008621,7854748424,7920514854,7989545217,8064057930
Surface area (sq. km),AG.SRF.TOTL.K2,World,WLD,139766145.737,139766535.937,139766960.937,139767416.437,139801540.397,139803496.74,139803801.687,139803883.407,140003369.109,140001052.93,140001326.808,140001646.549,140021205.18,140378206.158,140376282.955,140383797.195,140384998.854,140388337.658,140388117.186,140489642.695,140496038.92,140490177.614,140419456.722,..
Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,World,WLD,33899369449342.9,34197867039612.8,34357268814530.6,37343295227500.5,43109654692942,48368117267607,52181235145961.5,56273520550957.1,61016620232154.2,62029508237301.3,65840978470150.7,70082757737977,75135110255388.8,78750391993652.7,80491185593844.7,78818483229882,77811760844740.9,79261540731178.5,85492889469201.8,89743451490901.5,87193643241814.7,96583840486130.2,103742155460206,107467297749922
"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,World,WLD,49260876902582.5,51683560486005.8,54112492453314.8,57186666718879.4,61866088867355.5,66650246272651.1,73119537152189.5,79280589794317.3,83881637355340,84627562129377.7,90236507666939.5,96153731743306.3,101349668016020,106367003376976,110796871019262,113251692143397,117974138662632,124695098115530,132510187432044,140448325218864,139875916861485,156320634035259,173960891411691,185765221876990
Income share held by lowest 20%,SI.DST.FRST.20,World,WLD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,67.6497257264509,67.9443984335696,68.230563704585,68.5149610664907,68.7702524523832,69.1105758161451,69.4681165505109,69.8040978740415,70.0034739280642,70.3795251115458,70.6818433466141,70.9680134853525,71.2637168591001,71.5326006637734,71.7754456060807,71.9646261474589,72.1847345079995,72.3651515431591,72.6433904952398,72.8686568501624,72.1819792006819,71.2152192461602,72.9682902550636,73.3289501544845
"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,World,WLD,60.479441418473,..,..,..,..,..,..,..,..,..,55.8835345186883,..,..,..,..,..,..,..,..,..,..,..,..,..
Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,World,WLD,61.9638444020086,..,..,..,..,..,..,..,..,..,69.4342109004001,..,..,..,..,..,..,..,..,83.2696995034175,..,..,..,..
"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,World,WLD,20.93,20.53,20.14,19.73,19.3,18.86,18.39,17.9,17.39,16.91,16.44,16,15.57,15.16,14.75,14.35,13.97,13.62,13.32,13.06,12.85,12.66,12.51,12.36
