Series Name,Series Code,Country Name,Country Code,Year,Value,Decade
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2000,3.13856242760413,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2001,0.678693867597133,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2002,0.978015596602958,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2003,1.77184940623995,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2004,3.16563942684169,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2005,2.74002980815075,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2006,3.1563216794257,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2007,3.10547854351653,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2008,0.806633184484994,2000
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2010,3.26005790067614,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2011,2.08715778909783,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2012,1.44567354276259,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2013,1.62838584533004,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2014,1.89644668536985,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2015,1.89985030656202,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2016,1.60299529228149,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2017,2.28826822668024,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2018,2.16423195881895,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2019,1.61279143424787,2010
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2021,5.52976739411832,2020
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2022,2.5096434833969,2020
GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,World,WLD,2023,1.9973392951708,2020
