Series Name,Series Code,Country Name,Country Code,Year,Value,Decade
"Population, total",SP.POP.TOTL,World,WLD,2000,6161884811.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2001,6245112906.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2002,6327557399.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2003,6409750441.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2004,6492769815.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2005,6575841506.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2006,6659977025.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2007,6744489399.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2008,6830513541.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2009,6916589116.0,2000
"Population, total",SP.POP.TOTL,World,WLD,2010,7001266876.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2011,7087120034.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2012,7176929184.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2013,7265892332.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2014,7354068030.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2015,7441677465.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2016,7528879985.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2017,7614523410.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2018,7697233736.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2019,7778008621.0,2010
"Population, total",SP.POP.TOTL,World,WLD,2020,7854748424.0,2020
"Population, total",SP.POP.TOTL,World,WLD,2021,7920514854.0,2020
"Population, total",SP.POP.TOTL,World,WLD,2022,7989545217.0,2020
"Population, total",SP.POP.TOTL,World,WLD,2023,8064057930.0,2020
Surface area (sq. km),AG.SRF.TOTL.K2,World,WLD,2000,139766145.737,2000
Surface area (sq. km),AG.SRF.TOTL.K2,World,WLD,2001,139766535.937,2000
Surface area (sq. km),AG.SRF.TOTL.K2,World,WLD,2002,139766960.937,2000
Surface area (sq. km),AG.SRF.TOTL.K2,World,WLD,2003,139767416.437,2000
